filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S22diaD5	5	杂	Classifier	0.9325	1.0625	a	0.06000000000000005	109.946	112.784	1.0558945861991942	1.0137156929299007	112.177	112.426	112.675	112.762	112.723	112.684	112.645	112.461	112.276	112.091	111.893	111.677	111.462	111.246	110.913	110.558	110.203	109.971	110.059	110.147
S22diaD5	6	柚	Object	1.0625	1.25565	o	0.15379999999999994	119.599	191.689	1.10185	1.2171969988405895	118.287	121.976	127.407	129.843	132.12	135.279	141.358	148.158	155.338	162.747	169.201	176.146	182.988	188.968	190.944	191.566	191.136	189.132	186.137	182.44
S22diaD5	7	子	 Object(suffix)	1.25565	1.53798	I	0.16927999999999988	101.841	109.862	1.4528616549315951	1.3687	109.971	109.303	107.838	107.109	105.862	104.354	103.01	102.36	102.556	102.141	101.894	102.126	102.772	103.383	103.713	103.87	103.942	103.95	103.79	102.897
S22diaNF2	1	小	Name(prefix)	0.1525	0.34081	yaw	0.09255	122.131	150.612	0.34081	0.24984693877551029	150.612	148.291	144.759	141.864	140.196	138.531	136.965	135.399	134.638	134.204	133.53	132.488	131.453	130.491	129.53	128.471	127.381	125.878	123.87	121.897
S22diaNF2	2	岳	Name	0.34081	0.58673	o	0.19545999999999997	92.728	143.833	0.4713256279769719	0.569520914028648	105.721	102.763	100.31	99.152	98.639	96.738	95.867	94.154	92.884	93.34	95.788	101.334	110.484	121.302	126.639	131.773	137.595	141.89	143.561	143.088
S22diaNF2	3	喫	Verb	0.58673	0.78078	y@	0.11968000000000001	123.209	137.09	0.78078	0.6909598584035987	135.61	135.156	135.632	136.209	136.732	137.009	136.752	136.245	135.511	134.145	132.55	131.316	130.135	129.129	128.002	126.662	125.52	124.525	123.828	123.214
S22diaNF2	4	哒	Aspect	0.78078	0.80487	a	0.024089999999999945	121.513	122.176	0.80487	0.78078	122.637	122.521	122.405	122.288	122.173	122.099	122.024	121.95	121.875	121.801	121.726	121.652	121.577	121.468	121.14	120.812	120.483	120.155	119.827	119.499
S22diaNF2	5	杂	Classifier	0.80487	0.90429	a	0.048980000000000024	122.296	130.984	0.90429	0.8724495530484777	127.793	128.649	129.505	129.894	130.204	130.514	130.823	130.889	130.69	130.492	130.293	130.051	129.437	128.822	128.208	127.593	126.57	125.397	124.224	123.051
S22diaNF2	6	鸭	Object	0.90429	1.15123	@	0.11810999999999994	107.72	126.982	1.02312	1.1391326530612247	106.986	107.475	108.067	108.764	109.381	109.96	110.684	111.453	112.622	113.744	114.719	115.687	116.643	117.487	118.261	119.062	119.87	121.347	122.994	125.419
S22diaA5	1	小	Name(prefix)	0.31368	0.47864	yaw	0.07182	136.35	138.629	0.40682	0.45353710303389194	135.843	136.244	136.599	136.938	137.211	137.393	137.579	137.819	138.06	138.211	138.336	138.448	138.545	138.619	138.543	138.467	138.158	137.796	137.443	137.102
S22diaA5	2	英	Name	0.47864	0.5625	iN	0.06361	123.081	136.464	0.5625	0.49889	136.553	136.485	136.213	135.853	135.5	135.225	134.951	134.58	134.096	133.611	133.283	132.984	132.689	132.406	132.124	131.33	130.194	129.058	126.811	124.539
S22diaA5	3	开	Verb	0.5625	0.70757	@y	0.08349000000000006	120.271	137.123	0.70757	0.6513515858227814	133.417	133.833	134.892	135.903	136.14	136.386	136.767	137.064	136.171	135.256	134.049	132.866	131.988	131.123	130.4	129.681	128.991	128.018	123.966	120.164
S22diaA5	4	哒	Aspect	0.70757	0.7825	a	0.04244999999999999	123.986	130.109	0.7661938181340645	0.7489894298860437	129.155	129.548	129.941	130.034	130.058	130.083	130.107	128.752	127.219	125.686	124.154	124.066	124.039	124.012	123.997	124.307	124.616	124.926	125.259	125.787
S22diaA5	5	杂	Classifier	0.7825	0.8525	a	0.030000000000000027	138.165	142.128	0.8482513447069572	0.8310101712094988	140.89	141.226	141.562	141.898	142.11	142.055	141.999	141.943	141.888	141.832	141.319	140.662	140.004	139.346	138.689	138.176	138.228	138.279	138.331	138.383
S22diaA5	6	椰	Object	0.8525	1.09153	E	0.1545399999999999	122.695	162.459	0.9417691223157855	1.067058176279352	122.863	122.698	123.661	125.848	127.467	129.514	131.817	134.452	136.75	138.765	141.426	144.743	147.968	151.38	154.628	157.723	160.535	162.192	156.825	149.728
S22diaA5	7	子	 Object(suffix)	1.09153	1.1925	I	0.029999999999999805	133.635	139.584	1.1925	1.1625	141.598	141.178	140.758	140.338	139.919	139.459	138.844	138.23	137.615	137.001	136.386	135.874	135.418	134.961	134.505	134.049	133.608	133.32	133.032	132.744
S22diaA5	0	啦	Other final	1.1925	1.50117	a	0.26866999999999996	133.643	143.032	1.50117	1.4302352719241842	133.988	133.651	135.099	137.061	137.326	136.493	137.968	137.922	137.939	138.45	138.778	139.421	139.585	141.015	142.678	142.945	142.376	141.692	140.76	137.75
S22diaNC2	1	小	Name(prefix)	0.14757	0.3525	yaw	0.07999999999999996	114.941	121.562	0.29947350834916997	0.2725	122.483	122.11	121.737	120.275	117.859	115.443	115.043	114.987	115.033	115.554	116.075	116.673	117.351	118.029	118.408	118.72	119.009	119.152	119.296	119.596
S22diaNC2	2	影	Name	0.3525	0.64725	iN	0.25142	120.137	126.731	0.3986876480886145	0.5746798681325183	120.223	120.427	121.334	122.251	122.173	121.835	121.749	123.151	123.517	123.533	123.613	124.155	125.064	126.055	126.729	126.426	125.329	123.898	122.686	121.97
S22diaNC2	3	买	Verb	0.64725	0.79897	@	0.09411999999999998	108.983	118.922	0.79897	0.70485	119.504	119.054	118.686	118.353	118.06	117.822	117.575	117.276	116.977	116.649	116.317	115.978	115.635	115.167	114.438	113.69	112.561	111.431	110.432	109.471
S22diaNC2	4	哒	Aspect	0.79897	0.84197	a	0.04300000000000004	95.822	105.543	0.84197	0.79897	108.24	107.55	106.859	106.169	105.473	104.727	103.981	103.235	102.488	101.784	101.415	101.046	100.677	100.308	99.88	99.044	98.209	97.373	96.538	95.854
S22diaNC2	5	杂	Classifier	0.84197	0.98256	a	0.07006000000000001	105.487	107.42	0.98256	0.94231836919463	106.029	106.368	106.675	106.983	107.201	107.263	107.326	107.374	107.391	107.407	107.381	107.223	107.066	106.875	106.546	106.217	105.912	105.767	105.621	105.426
S22diaNC2	6	李	Object	0.98256	1.13837	i	0.11592000000000002	108.603	112.274	1.13837	1.051743754860739	111.114	110.942	111.012	111.675	112.101	112.224	112.111	111.836	111.526	111.204	110.861	110.524	110.369	110.244	110.234	110.161	109.967	109.527	108.842	106.218
S22diaNC2	7	子	 Object(suffix)	1.13837	1.306	I	0.08065999999999995	97.62	103.522	1.2844982182106184	1.306	100.295	100.181	100.067	99.965	99.883	99.801	99.642	99.452	99.265	99.131	98.997	98.75	98.336	97.921	97.761	97.687	97.816	100.038	102.259	104.165
S22diaN1B1	1	小	Name(prefix)	0.13064	0.29506	yaw	0.07136999999999999	124.095	131.565	0.29506	0.2285714285714285	131.565	131.565	131.364	131.045	130.726	130.459	130.222	129.986	129.787	129.611	129.435	129.266	129.102	128.938	128.669	128.337	128.005	127.097	125.837	124.577
S22diaN1B1	2	莹	Name	0.29506	0.5425	iN	0.21376999999999996	95.165	112.873	0.4197699278855777	0.4955149946625334	111.488	107.151	103.32	100.053	97.672	96.179	95.817	96.209	96.01	95.945	98.455	100.78	103.63	108.578	111.112	112.675	112.747	112.233	110.942	107.507
S22diaN1B1	3	提	Verb	0.5425	0.7425	ia	0.1611100000000001	108.542	123.637	0.7425	0.5821428571428571	123.637	118.792	113.413	109.193	108.592	108.793	109.091	109.407	109.726	109.716	109.8	110.045	110.514	110.694	110.677	110.553	110.451	110.494	109.826	108.434
S22diaN1B1	4	哒	Aspect	0.7425	0.78072	a	0.03821999999999992	106.261	119.44	0.7447967167951032	0.78072	106.353	106.449	106.68	106.911	107.143	107.374	107.722	108.519	109.317	110.114	110.912	111.709	112.821	114.143	115.465	116.787	118.109	119.431	120.338	121.241
S22diaN1B1	5	杂	Classifier	0.78072	0.81954	a	0.025110000000000077	117.065	125.227	0.81954	0.79443	125.093	125.177	125.077	124.707	124.337	123.968	123.598	123.229	122.859	122.49	122.12	121.561	120.974	120.387	119.8	119.213	118.626	118.039	117.452	116.869
